imo,sector,destination,top1,score1,top2,score2,top3,score3,top4,score4,top5,score5
9301419,TANKER,RU DKA,Dakar + code1,73,Aarhus + code2,73,Varandey + code2,73,Karluk + code1,67,Karatsu + code1,62
9662485,DRY,UA ODS,Odessa + code1,67,Odda + code1,60,Opua + code1,60,Ordu + code1,60,Suao + code1,60
9253806,DRY BULK,XIAMEN,Xiamen + code1,100,Kiame + code1,73,Jiangmen + code1,71,Camden + code1,67,Haimen + code1,67
9586629,DRY,HONGKONG,Hong Kong + code1,94,Garongkong + code1,78,Changhong + code1,71,Chongqing + code1,71,Longkou + code1,67
9737187,TANKER,NOHVG / HONNINGSVAG,Honningsvaag + code1,76,Hong Kong + code1,54,Zhongshan + code1,54,Santo Domingo + code1,53,Fanning Island + code1,52
8800157,DRY BULK,EIDE,Eden + code1,75,Erie + code1,75,Meulaboh + code2,75,Adelaide + code1,67,Emden + code1,67
9273923,CONTAINER,SCPOV>>OMSLL,Salalah + code2+3,100,Oslo + code1+3,67,Marshall + code1+3,62,Collo + code1+3,60,Khoms + code1+3,60
9687514,TANKER,PA CTB,Cam Pha + code1,62,Toba + code1,60,TAICANG + code2,60,Castle Peak + code1,59,Ceuta + code1,55
8894691,DRY BULK,KUWANDANG,Kwanda + code1,80,KWANGYANG + code1,78,Kantang + code1,75,Kuantan + code1,75,Ciwandan + code1,71
9155286,CONTAINER,DALIAN,DALIAN + code1,100,Aland + code1,73,Alang + code1,73,Alicante + code1,71,Alliance + code1,71
9647277,DRY,POSSESION P/S,Cape Preston + code1,56,Ascension Island + code1,55,Assens + code1,53,Concession + code1,52,St Sampson + code1,52
9777723,DRY,VERACRUZ,Koverhar + code1,62,Puerto La Cruz + code2,62,Carupano (Venezuela) + code2,62,Cumana + code2,62,Cumarebo + code2,62
9353711,DRY BULK,SEVILLA,Seville + code1,86,Lulea + code2,83,Melilla + code1,71,Eilat + code1,67,Melville + code1,67
9166883,DRY,HAMRIYAH,Hamriyah + code1,100,Dhamra + code1,71,Hamina + code1,71,Almeria + code1,67,Harwich + code1,67
9142112,DRY,>JP NNX OFF,Nakanoseki + code2+3,73,Onomichi + code2+3,73,Nanao + code2+3,73,Jinan + code1+3,55,Pitcairn Island + code2+3,55
9464364,TANKER,FOR ORDERS,Porto Torres + code1,64,Port Rhoades + code1,64,Rhodes + code1,62,Randers + code1,59,Tres Fronteras + code1,58
9411862,DRY BULK,KERCH-KAVKAZ,Kavkaz + code1,100,Kalach + code1,56,Khor Kalba + code1,55,Karachi + code1,53,Karskar + code1,53
9164641,DRY BULK,TANJUNG JATI,Tanjung Manis + code1,80,Tanjung Bin + code1,78,Tanjung Arus + code1,75,Tanjung Bara + code1,75,Tanjung Emas + code1,75
9723124,TANKER,OFF GALVESTON U.S.A,Galveston + code1,100,"Astoria, Oregon, U.S.A. + code1",62,"Port Allen, Louisiana, U.S.A. + code1",58,"Vancouver, Washington, U.S.A. + code1",58,"Everett, Washington, U.S.A. + code1",56
9131199,TANKER,PLGDN,Gdansk + code2,100,Gdynia + code2,80,Dundee + code2,60,Sidon + code2,60,Anewa Bay; Bougainville Island + code2,60
9202247,CONTAINER,CN LYG>CN TAO,Qingdao (formerly Tsingtao) + code2+3,91,TAICANG + code2+3,80,Can Tho + code1+3,77,Cinta + code1+3,73,Taixing + code2+3,73
9260550,TANKER,TR ALI,Tok Bali + code1,71,Jaluit + code1,67,Jebel Ali + code1,67,Algiers + code1,62,Calicut + code1,62
9302633,CONTAINER,LAYUP ANCHORAGE,Anchorage + code1,100,Muara Berau Anchorage + code1,75,Muara Pantai Anchorage + code1,75,Muara Sabak Anchorage + code1,75,Taboneo Anchorage + code1,75
8027573,DRY BULK,ELEVSIS / GREECE,Eleusis + code1,57,"Calais, France + code1",52,Helsingor + code1,52,Elnesvagen + code1,50,Lewisporte + code1,50
9387114,DRY BULK,CN QDG,Anqing + code2,73,Shuidong + code2,73,Dandong + code2,73,Dafeng + code2,73,DALIAN + code2,73
9156436,TANKER,KAOHSIUNG,Kaohsiung + code1,100,Kohsichang + code1,74,Kawthaung + code1,67,Koping + code1,67,Caojing + code1,62
9341299,TANKER,AU BWB,Barrow Island + code2,91,Botany Bay + code2,73,Burnie + code2,73,Withnell Bay + code2,73,Bing Bong + code2,73
9408451,CONTAINER,PG KBE,Kobe + code1,60,Beppu + code1,55,Kimbe + code1,55,Paranagua + code2,55,Marin + code2,55
9313773,DRY BULK,SELLA,Lulea + code2,100,Landskrona + code2,80,Gela + code1,67,Melilla + code1,67,Mellita + code1,67
8701387,DRY BULK,ORDER,Ordu + code1,67,Randers + code1,67,Bordeaux + code1,62,Orkanger + code1,62,Derby + code1,60
9317951,TANKER,ROTTERDAM,Rotterdam + code1,100,Amsterdam + code1,67,Mosterhamn + code1,63,Drogheda + code1,59,Tekirdag + code1,59
9146039,TANKER,MM RGN,Rangoon + code2,91,Marin + code1,55,Moron + code1,55,Mahajunga + code2,55,Nouadhibou + code2,55
9497062,DRY BULK,ZHOU SHAN,Hangzhou + code1,82,Changzhou + code1,78,Zhangzhou + code1,78,Ao Shan + code1,75,Shantou + code1,75
9169512,TANKER,"RAS TANNURAH,SA",Ras Tanura + code1,80,Ras Al Khaimah + code1,62,Ras Selaata + code1,62,Tanah Merah + code1,62,Savannah + code1,61
9512032,DRY,JVRUTI-PA,Vatia + code1,57,Nikolaevsk On Amur + code2,57,Tuapse + code2,57,Taganrog + code2,57,Tampa + code2,57
9479319,DRY,SANTOS,General Santos + code1,100,Santos + code1,100,Santo + code1,91,Sagunto + code1,77,Shantou + code1,77
9247388,TANKER,OILFIELD B8,BERYL FIELD + code1,64,Valleyfield + code1,55,Cold Bay + code1,53,Airlie Island + code1,50,Helsinki + code2,50
9592575,DRY BULK,HEROYA,Heroya + code1,100,Erawan + code2,73,Cheboygan + code1,67,Hadera + code1,67,Hernosand + code1,67
9728708,TANKER,SGSIN,Singapore + code2,100,Bassein + code1,67,Messina + code1,67,Shengjin + code1,62,Stugsund + code1,62
9590929,DRY,SG PEBGC,Safaga + code2,62,Bruges + code2,62,Pechenga + code1,50,Prescott (Usa) + code1,50,Supe Bay + code2,50
9202091,DRY BULK,MANILA,Manila + code1,100,Manila - Harbour Centre + code1,100,Manila - South Harbour + code1,100,Antilla + code1,77,Mailiao + code1,77
9228095,DRY,HONG KONG LAMMA SW,Hong Kong + code1,100,Muara Bangkong + code1,56,Toyama-Shinko + code1,52,Garongkong + code1,50,Abu Kammash + code1,48
9536959,DRY BULK,MX LZC,Mersrags + code2,55,Cabo Negro + code2,55,Colombo + code2,55,Lazaro Cardenas + code2,55,Cai Mep + code1,46
9295945,CONTAINER,JMKIN,"Kingston, Jamaica + code2",100,Minamata + code2,80,Kin Wan (Okinawa) + code2,80,Ijmuiden + code1,62,Mackinaw + code1,62
7613442,DRY BULK,IRAN,Ravenna + code2,89,Oran + code1,75,Beira + code1,67,Gizan + code1,67,Hirao + code1,67
9239939,TANKER,FUJAIRAH 'S' ANCHORA,Fujairah + code1,100,Muara Sabak Anchorage + code1,72,Muara Pantai Anchorage + code1,65,Muara Berau Anchorage + code1,62,Tioman Anchorage + code1,59
9455595,DRY BULK,BUSAN N3 ANCHORAGE,Anchorage + code1,100,Busan + code1,100,Tioman Anchorage + code1,72,Muara Pantai Anchorage + code1,70,Taboneo Anchorage + code1,69
9497177,DRY,CN TAO,Qingdao (formerly Tsingtao) + code2,91,TAICANG + code2,80,Can Tho + code1,77,Cinta + code1,73,Taixing + code2,73
8419611,DRY BULK,ROSTOV-ON-DON,Rostov-Na-Donu + code1,89,Lomonosov + code1,64,Santo Domingo + code1,62,Huo Shao Dao + code1,56,Port Dickson + code1,56
