"id","imo","sector","destination","top1","score1","top2","score2","top3","score3","top4","score4","top5","score5"
"161807","9803936","OSV","IT SAL","Salerno + ITSAL","91","Sal Is. + name","83","Salaya + INSAL","73","Falconara + ITFAL","73","Santa Panagia + ITSPA","73"
"161810","9626015","DRY","CN TAX","Taixing + CNTAX","91","TAICANG + 	CNTA","80","Cinta + name","73","Daxie + CNDAX","73","Qingdao (formerly Tsingtao) + CNTAO","73"
"161815","9202869","CONTAINER","NL RTM","Rotterdam + NLRTM","91","Port Gentil + name","59","Le Trait + name","57","Port Angeles + name","56","Port Lincoln + name","56"
"161881","9818981","DRY BULK","JP SKD","Sakaide + JPSKD","91","Hakodate + JPHKD","73","Fushiki + JPFSK","73","Senboku + JPSBK","73","Kanda + JPKND","73"
"161883","9229336","CONTAINER","KR PUS","Busan + KRPUS","91","Ulsan + KRUSN","73","Pusan + name","55","Kristinestad + FIKRS","55","Ponce + PRPSE","55"
"161951","9519365","DRY BULK","AU DAM","Dampier + AUDAM","91","Sauda + name","73","Dartmouth, N.S., Canada + CA DA","73","Yampi Sound + AUYAM","73","ABU DHABI + name","67"
"161983","9504308","DRY","BR  SSZ","Santos + BRSSZ","91","Sao Francisco do Sul + BRSFS","73","Sao Sebastiao + BRSSO","73","Salvador + BRSSA","73","Sao Luiz De Maranhao + BRSLZ","73"
"162029","9355525","DRY BULK","SG SIN","Singapore + SGSIN","91","Bassein + name","62","Messina + name","62","Es Sider + name","57","Nghi Son + name","57"
"162042","9128568","DRY BULK",">JP ONX","Onomichi + JPONX&&>","91","Onoda + JPOND&&>","73","Onahama + JPONA&&>","73","Phoenix + name&&>","62","Gijon + name&&>","55"
"162058","9318450","OSV","BR SFS","Sao Francisco do Sul + BRSFS","91","Sao Sebastiao + BRSSO","73","Santos + BRSSZ","73","Salvador + BRSSA","73","Brussels + name","57"
"162068","9833620","OSV","CA NNO","Nanaimo + CANNO","91","Nanticoke + CANAN","73","Pointe Noire, Quebec, Canada + CAPNO","73","Ningbo + CNNBO","73","Canoas + name","67"
"162192","8208983","DRY BULK","CN SHD","Shidao + CNSHD","91","Shanghai + CNSHG","73","Shekou + CNSHK","73","Shuidong + CNSDG","73","Qinhuangdao + CNSHP","73"
"162213","9135559","TANKER","ID PKS","Pangkalan Susu + IDPKS","91","Denpasar + IDDPS","73","Pontianak + IDPNK","73","Pulau Sambu + IDPSS","73","Offshore Karimun Besar (Tsa) + ID OK","73"
"162288","7109336","TANKER","RU VVO","Vladivostok + RUVVO","91","Moskalvo + RUMVO","73","Varandey + RU VA","73","Vavouto Port + name","56","Rugao + name","55"
"162291","9274276","TANKER",">KR MOK","Mokpo + KRMOK&&>","91","Okkye + KROKK&&>","73","Okpo + KROKP&&>","73","Karmoy + name&&>","67","Koko + name&&>","60"
"162354","9201906","TANKER","DK SKA","Skagen + DKSKA","91","Kiska + name","73","Kalundborg + DKKAL","73","Skaerbaek + DKSKB","73","Karskar + name","62"
